SeqID,HashID,Reads,Method,Filt,StudyID,SampleType,Library
mockIM4p4L1,38266d9f6aa0062dc3abecfdf193dc33,4255,dada2,basic,mock,mock,libA
mockIM4p4L1,3456ff6251490eea3e12040d3e345c65,4572,dada2,basic,mock,mock,libA
mockIM4p4L1,7f8765e7a170252a49c619116f0cfbfa,7617,dada2,basic,mock,mock,libA
mockIM4p4L1,3348e2b97c19155f395e0a5f6bd9024b,4,dada2,basic,mock,mock,libA
mockIM4p4L1,6061194e627ad662d7d6a7ae178166e9,6,dada2,basic,mock,mock,libA
mockIM4p4L1,106866132fd52b9d5c96c38bde87c51f,7866,dada2,basic,mock,mock,libA
mockIM4p4L1,443a72aa5f34ea34fd921e6c56388ce3,8298,dada2,basic,mock,mock,libA
mockIM4p4L1,49337d34e108aaa7b9eed947dfc6a6d7,8606,dada2,basic,mock,mock,libA
mockIM4p4L1,1cd1ff405bf366c31e72fd99dfd39ede,7562,dada2,basic,mock,mock,libA
mockIM4p4L1,098f65da59f0fa927fe804d96cb3dff4,6894,dada2,basic,mock,mock,libA
mockIM4p4L1,84efcdc4397b06db856a314c95b0ab2e,5481,dada2,basic,mock,mock,libA
mockIM4p4L1,1a589e45391a7e9fc0b162cd98865888,7363,dada2,basic,mock,mock,libA
mockIM4p4L1,1c4c22364b2626d57778fdee5980c360,2,dada2,basic,mock,mock,libA
mockIM4p4L1,43c5d1c9b7e77b220d74398f758225bb,3,dada2,basic,mock,mock,libA
mockIM4p4L1,5592a4d77978f1271b28d3058d03e55d,6549,dada2,basic,mock,mock,libA
mockIM4p4L1,55a17d8326442d559967b1c9445390bf,6329,dada2,basic,mock,mock,libA
mockIM4p4L1,821aa64611daa3da216572e13a62b9ce,7087,dada2,basic,mock,mock,libA
mockIM4p4L1,f6a5686e762060e92089709944306a6a,7175,dada2,basic,mock,mock,libA
mockIM4p4L1,fba1769661698317d960d93ee6943def,465,dada2,basic,mock,mock,libA
mockIM4p4L1,a6152ff903092bda54f1fe77a3167563,9628,dada2,basic,mock,mock,libA
mockIM4p4L1,aea4dfce56b29e85d72e79b1453366e4,7790,dada2,basic,mock,mock,libA
mockIM4p4L1,ba43baa0664c7465cbc757c64829dc74,2,dada2,basic,mock,mock,libA
mockIM4p4L1,c753f823a8823c373321618db6ba8e30,7733,dada2,basic,mock,mock,libA
mockIM4p4L1,e0425a63c5717f2c0bfc70a1886275f4,6100,dada2,basic,mock,mock,libA
mockIM4p4L1,f1e2e46d9d39da02757f2e3e3c2a62e5,5088,dada2,basic,mock,mock,libA
mockIM4p4L1,f51974df289e803808177a78bdf311e2,6983,dada2,basic,mock,mock,libA
mockIM4p4L1,a33e9d5dcc6aebafe47272127f7f4b4f,8158,dada2,basic,mock,mock,libA
mockIM4p4L1,86d824f733d61170ef80a4235cb32238,7208,dada2,basic,mock,mock,libA
mockIM4p4L1,899f39fc558547da06b0737419092c95,5582,dada2,basic,mock,mock,libA
mockIM4p4L1,a1bf48aed3403b048276c6c7541b6b82,8103,dada2,basic,mock,mock,libA
mockIM4p4L2,899f39fc558547da06b0737419092c95,13686,dada2,basic,mock,mock,libB
mockIM4p4L2,a1bf48aed3403b048276c6c7541b6b82,21669,dada2,basic,mock,mock,libB
mockIM4p4L2,5592a4d77978f1271b28d3058d03e55d,16057,dada2,basic,mock,mock,libB
mockIM4p4L2,55a17d8326442d559967b1c9445390bf,15008,dada2,basic,mock,mock,libB
mockIM4p4L2,719542bfb0f337f545382bf974c81337,7,dada2,basic,mock,mock,libB
mockIM4p4L2,7f8765e7a170252a49c619116f0cfbfa,17324,dada2,basic,mock,mock,libB
mockIM4p4L2,821aa64611daa3da216572e13a62b9ce,18390,dada2,basic,mock,mock,libB
mockIM4p4L2,84efcdc4397b06db856a314c95b0ab2e,13627,dada2,basic,mock,mock,libB
mockIM4p4L2,86d824f733d61170ef80a4235cb32238,16887,dada2,basic,mock,mock,libB
mockIM4p4L2,a33e9d5dcc6aebafe47272127f7f4b4f,19097,dada2,basic,mock,mock,libB
mockIM4p4L2,a6152ff903092bda54f1fe77a3167563,22094,dada2,basic,mock,mock,libB
mockIM4p4L2,aea4dfce56b29e85d72e79b1453366e4,17113,dada2,basic,mock,mock,libB
mockIM4p4L2,098f65da59f0fa927fe804d96cb3dff4,17456,dada2,basic,mock,mock,libB
mockIM4p4L2,106866132fd52b9d5c96c38bde87c51f,18082,dada2,basic,mock,mock,libB
